This is a test trajectory computed for unit testing
Forward lookahead radius: 1Backward lookahead radius: 2Tractor Wheelbase: 0.3Trailer Wheelbase: 0.8Tractor hitch offset: 0.2Velocity-0.2

Piecewise Linear Path
0, 0
0, -5
-7, -6
-2.75834e-06	-0.0211241	1.57077	2.28067	-0.673078	0.715983	3.14151
-2.75691e-06	-0.0214847	1.57083	2.28225	-0.673836	0.71503	3.14157
-2.76123e-06	-0.0215139	1.57047	2.28083	-0.673116	0.715579	-3.14156
-2.86907e-06	-0.0218742	1.57053	2.28241	-0.673873	0.714627	3.14127
-2.95586e-06	-0.0222332	1.57058	2.28397	-0.674623	0.713678	3.14132
-3.02199e-06	-0.0225908	1.57064	2.28553	-0.675367	0.712732	3.14138
-3.06785e-06	-0.0229471	1.5707	2.28707	-0.676106	0.711789	3.14144
-3.09382e-06	-0.0233022	1.57075	2.28861	-0.676839	0.710848	3.14149
-3.10026e-06	-0.0236559	1.57081	2.29014	-0.677566	0.709911	3.14155
-3.10561e-06	-0.0236866	1.57044	2.2887	-0.676838	0.710478	-3.14158
-3.22206e-06	-0.0240402	1.57049	2.29023	-0.677564	0.709542	3.14124
-3.31905e-06	-0.0243924	1.57055	2.29175	-0.678285	0.708608	3.14129
-3.39694e-06	-0.0247435	1.5706	2.29326	-0.679	0.707677	3.14135
-3.45607e-06	-0.0250933	1.57065	2.29476	-0.679709	0.706749	3.1414
-3.49677e-06	-0.025442	1.57071	2.29625	-0.680413	0.705824	3.14145
-3.51937e-06	-0.0257895	1.57076	2.29774	-0.681112	0.704901	3.1415
-3.52418e-06	-0.0261358	1.57081	2.29922	-0.681806	0.703981	3.14156
-3.52986e-06	-0.0261684	1.57044	2.29774	-0.681069	0.70457	-3.14158
-3.64555e-06	-0.0265146	1.57049	2.29922	-0.681762	0.70365	3.14124
-3.74349e-06	-0.0268596	1.57054	2.30069	-0.68245	0.702734	3.14129
-3.82398e-06	-0.0272035	1.57059	2.30215	-0.683133	0.701819	3.14134
-3.88733e-06	-0.0275463	1.57064	2.30361	-0.683811	0.700908	3.14139
-3.93382e-06	-0.0278881	1.57068	2.30505	-0.684484	0.699998	3.14144
-3.96375e-06	-0.0282288	1.57073	2.30649	-0.685152	0.699092	3.14148
-3.97739e-06	-0.0285684	1.57078	2.30793	-0.685815	0.698187	3.14153
-3.97502e-06	-0.028907	1.57083	2.30935	-0.686473	0.697286	3.14158
-3.98052e-06	-0.0289417	1.57045	2.30783	-0.685727	0.6979	-3.14156
-4.09001e-06	-0.0292802	1.5705	2.30926	-0.686385	0.696999	3.14125
-4.18348e-06	-0.0296177	1.57054	2.31067	-0.687039	0.6961	3.1413
-4.26119e-06	-0.0299541	1.57059	2.31209	-0.687688	0.695203	3.14134
-4.32341e-06	-0.0302896	1.57063	2.31349	-0.688332	0.694309	3.14139
-4.37038e-06	-0.0306241	1.57068	2.31489	-0.688972	0.693417	3.14143
-4.40235e-06	-0.0309576	1.57072	2.31628	-0.689607	0.692527	3.14148
-4.41957e-06	-0.0312902	1.57077	2.31766	-0.690238	0.69164	3.14152
-4.42227e-06	-0.0316218	1.57081	2.31904	-0.690865	0.690755	3.14157
-4.42887e-06	-0.0316588	1.57043	2.31748	-0.690109	0.691395	-3.14158
-4.54443e-06	-0.0319903	1.57047	2.31885	-0.690735	0.69051	3.14123
-4.64543e-06	-0.032321	1.57051	2.32022	-0.691358	0.689628	3.14127
-4.73211e-06	-0.0326508	1.57055	2.32159	-0.691976	0.688747	3.14131
-4.80469e-06	-0.0329796	1.5706	2.32295	-0.69259	0.687869	3.14135
-4.8634e-06	-0.0333075	1.57064	2.3243	-0.6932	0.686993	3.1414
-4.90845e-06	-0.0336346	1.57068	2.32564	-0.693806	0.686119	3.14144
-4.94005e-06	-0.0339608	1.57072	2.32698	-0.694408	0.685247	3.14148
-4.95842e-06	-0.0342862	1.57076	2.32832	-0.695006	0.684377	3.14152
-4.96375e-06	-0.0346107	1.5708	2.32964	-0.6956	0.68351	3.14156
-4.97136e-06	-0.0346502	1.57041	2.32803	-0.694832	0.684179	-3.14159
-5.09069e-06	-0.0349747	1.57045	2.32936	-0.695426	0.683311	3.14121
-5.19693e-06	-0.0352984	1.57049	2.33068	-0.696017	0.682446	3.14125
-5.29027e-06	-0.0356212	1.57053	2.332	-0.696603	0.681582	3.14129
-5.37091e-06	-0.0359433	1.57057	2.33331	-0.697186	0.680721	3.14133
-5.43905e-06	-0.0362645	1.5706	2.33461	-0.697765	0.679862	3.14137
-5.49486e-06	-0.0365849	1.57064	2.33591	-0.69834	0.679004	3.1414
-5.53853e-06	-0.0369046	1.57068	2.3372	-0.698912	0.678148	3.14144
-5.57025e-06	-0.0372234	1.57072	2.33849	-0.69948	0.677295	3.14148
